                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.2739,                  45.74,                  2.915,                      0,                      0,                      0,                      0,                 5.3473,                 31.043,                 2.7567,                  6e-05,                  6e-05,                  6e-05
                      2,                 4.6688,                 26.347,                 2.3935,                      0,                      0,                      0,                      0,                 5.2426,                 30.673,                 2.7233,             0.00013723,             0.00013723,             0.00013723
                      3,                 4.2571,                 19.421,                 1.9328,                      0,                      0,                      0,                      0,                 3.0817,                 13.496,                 1.3004,             0.00021129,             0.00021129,             0.00021129
                      4,                  2.727,                  8.664,                   1.21,                      0,                      0,                      0,                      0,                 3.1984,                  11.73,                 1.3262,             0.00028218,             0.00028218,             0.00028218
                      5,                  2.605,                 6.4002,                 1.1659,                      0,                      0,                      0,                      0,                 2.9653,                 10.283,                 1.1649,              0.0003499,              0.0003499,              0.0003499
                      6,                  2.479,                 6.6239,                 1.0115,                      0,                      0,                      0,                      0,                 2.4883,                 9.1661,                 1.0325,             0.00041446,             0.00041446,             0.00041446
                      7,                 2.2599,                 6.8847,                0.95119,                0.00022,                0.06667,                0.00014,                  6e-05,                 2.8009,                 8.4851,                 1.1434,             0.00047585,             0.00047585,             0.00047585
                      8,                 2.3763,                 5.0801,                 1.0507,                0.00022,                0.06667,                0.00014,                  6e-05,                 2.9879,                 8.3044,                 1.1463,             0.00053407,             0.00053407,             0.00053407
                      9,                 2.2274,                 4.7585,                0.98207,                0.00089,                0.26667,                0.00068,                0.00022,                 2.1136,                 7.3888,                0.92177,             0.00058912,             0.00058912,             0.00058912
                     10,                 2.2669,                 4.2524,                 0.9508,                0.00178,                0.53333,                0.00167,                0.00057,                 2.0523,                 6.6475,                0.89294,               0.000641,               0.000641,               0.000641
                     11,                 2.1167,                  4.393,                0.99085,                0.00244,                0.73333,                0.00318,                0.00083,                 2.7961,                 6.5408,                 1.0844,             0.00068972,             0.00068972,             0.00068972
                     12,                 2.2016,                 4.3598,                0.98028,                0.00333,                      1,                0.00767,                0.00313,                 2.2266,                  6.481,                0.98696,             0.00073527,             0.00073527,             0.00073527
                     13,                 2.1823,                 4.0416,                0.92144,                0.00311,                0.93333,                0.00628,                 0.0024,                 2.2164,                 6.3202,                0.96111,             0.00077765,             0.00077765,             0.00077765
                     14,                 2.0623,                 3.8768,                0.91875,                0.00333,                      1,                0.00777,                0.00302,                 2.1482,                 6.3676,                0.97235,             0.00081686,             0.00081686,             0.00081686
                     15,                 2.0406,                 3.7267,                0.93742,                0.00333,                      1,                0.15016,                0.05679,                 1.9104,                 5.7198,                 0.9297,              0.0008529,              0.0008529,              0.0008529
                     16,                 1.9472,                 3.6385,                 0.9392,                0.00333,                      1,                0.41766,                0.18232,                   1.94,                 5.2644,                0.92592,             0.00088578,             0.00088578,             0.00088578
                     17,                 1.9838,                 3.9021,                0.90011,                0.00333,                      1,                0.89451,                0.40275,                 2.0247,                  5.022,                 0.9216,             0.00091549,             0.00091549,             0.00091549
                     18,                  1.944,                 3.4758,                0.88405,                0.00763,                      1,                0.94534,                 0.3219,                 2.1858,                 4.5909,                0.95294,             0.00094203,             0.00094203,             0.00094203
                     19,                 1.9601,                 3.4121,                0.92996,                0.00333,                      1,                0.93919,                0.38205,                 2.0267,                 4.2809,                0.92825,              0.0009654,              0.0009654,              0.0009654
                     20,                 1.9154,                 3.3171,                0.92715,                0.93344,                0.93498,                0.99125,                0.32725,                 2.0816,                 4.0854,                0.93933,              0.0009856,              0.0009856,              0.0009856
                     21,                 1.7353,                 2.8417,                0.91311,                0.91976,                0.76551,                0.96187,                0.31002,                 2.3719,                 4.0378,                 0.9904,              0.0010026,              0.0010026,              0.0010026
                     22,                 1.9798,                 3.0258,                0.90993,                0.81942,                0.66667,                0.77603,                0.26947,                  2.422,                 3.9654,                 1.0019,              0.0010165,              0.0010165,              0.0010165
                     23,                 1.9804,                 3.1149,                0.94885,                0.92266,                0.79569,                0.89278,                0.35681,                 2.1778,                 3.8601,                0.96602,              0.0010272,              0.0010272,              0.0010272
                     24,                 1.8652,                 2.7839,                0.90361,                0.93023,                0.88985,                   0.97,                0.42782,                 1.9133,                 3.6112,                0.91594,              0.0010347,              0.0010347,              0.0010347
                     25,                 1.9571,                 2.8872,                0.92072,                0.93494,                      1,                  0.995,                0.47105,                 1.8475,                 3.3131,                0.90264,              0.0010391,              0.0010391,              0.0010391
                     26,                 1.7193,                 2.6635,                0.89752,                0.98461,                      1,                  0.995,                0.43875,                 1.9169,                 3.2298,                0.91548,                0.00101,                0.00101,                0.00101
                     27,                 1.7074,                 2.4376,                0.90052,                0.97667,                      1,                  0.995,                0.36491,                 2.0792,                 3.0602,                0.94225,                0.00101,                0.00101,                0.00101
                     28,                 1.6214,                 2.3925,                0.90276,                0.98391,                      1,                  0.995,                0.43978,                 1.9303,                 2.7441,                0.90222,              0.0009704,              0.0009704,              0.0009704
                     29,                 1.6373,                 2.3837,                0.90189,                0.98802,                      1,                  0.995,                   0.48,                 1.8271,                 2.5176,                0.87812,              0.0009308,              0.0009308,              0.0009308
                     30,                 1.6893,                  2.538,                0.92165,                0.98797,                      1,                  0.995,                0.48499,                 1.8247,                 2.4206,                0.88018,              0.0008912,              0.0008912,              0.0008912
                     31,                 1.7738,                 2.4054,                0.88675,                0.99021,                      1,                  0.995,                0.53204,                 1.7581,                 2.2581,                 0.8771,              0.0008516,              0.0008516,              0.0008516
                     32,                 1.6903,                  2.468,                0.83452,                0.99071,                      1,                  0.995,                0.50256,                 1.7962,                  2.145,                0.88334,               0.000812,               0.000812,               0.000812
                     33,                  1.596,                 2.2374,                0.85354,                0.98753,                      1,                  0.995,                0.48027,                 1.8389,                 2.1532,                0.89056,              0.0007724,              0.0007724,              0.0007724
                     34,                 1.7291,                 2.5951,                0.86816,                0.97663,                      1,                  0.995,                0.45336,                 1.8119,                 2.2664,                 0.8905,              0.0007328,              0.0007328,              0.0007328
                     35,                 1.6718,                 2.1602,                0.86601,                0.97426,                      1,                  0.995,                0.42816,                  1.794,                 2.1339,                0.87977,              0.0006932,              0.0006932,              0.0006932
                     36,                 1.5442,                 2.6129,                0.84185,                0.97737,                      1,                  0.995,                0.42422,                 1.7997,                   1.96,                0.87596,              0.0006536,              0.0006536,              0.0006536
                     37,                 1.5714,                 2.1193,                0.89282,                0.98357,                      1,                  0.995,                0.42659,                 1.8659,                 1.8547,                0.88165,               0.000614,               0.000614,               0.000614
                     38,                 1.5856,                 2.2286,                0.88047,                0.98286,                      1,                  0.995,                0.40652,                 1.9708,                 1.8717,                0.89799,              0.0005744,              0.0005744,              0.0005744
                     39,                  1.702,                 2.1625,                0.85878,                0.98616,                      1,                  0.995,                0.39395,                 1.9949,                 1.8756,                0.90584,              0.0005348,              0.0005348,              0.0005348
                     40,                  1.539,                 2.1697,                0.85686,                0.98427,                      1,                  0.995,                 0.4367,                 1.9391,                 1.8419,                0.90371,              0.0004952,              0.0004952,              0.0004952
                     41,                 1.5359,                 2.3481,                0.85777,                 0.9871,                      1,                  0.995,                0.42778,                 1.9927,                 1.8233,                0.91168,              0.0004556,              0.0004556,              0.0004556
                     42,                 1.4826,                 2.2745,                0.86539,                0.98981,                      1,                  0.995,                0.47344,                 1.9212,                 1.7768,                0.89904,               0.000416,               0.000416,               0.000416
                     43,                 1.5955,                 2.3672,                0.85733,                 0.9915,                      1,                  0.995,                0.48978,                 1.9197,                 1.7235,                0.89836,              0.0003764,              0.0003764,              0.0003764
                     44,                 1.5228,                 2.2248,                0.90301,                 0.9927,                      1,                  0.995,                0.45399,                 1.9716,                 1.7349,                 0.9096,              0.0003368,              0.0003368,              0.0003368
                     45,                 1.4297,                 2.0443,                0.87028,                0.99309,                      1,                  0.995,                  0.434,                 2.0335,                 1.7599,                0.92339,              0.0002972,              0.0002972,              0.0002972
                     46,                 1.5027,                    2.4,                0.86694,                0.99327,                      1,                  0.995,                0.43289,                 2.0153,                 1.7415,                0.91741,              0.0002576,              0.0002576,              0.0002576
                     47,                 1.4378,                 2.1863,                0.87898,                0.99338,                      1,                  0.995,                0.48769,                 1.9266,                 1.6887,                0.90438,               0.000218,               0.000218,               0.000218
                     48,                 1.4769,                 2.2458,                0.91374,                0.99424,                      1,                  0.995,                0.50185,                 1.8807,                 1.6619,                 0.8924,              0.0001784,              0.0001784,              0.0001784
                     49,                 1.5415,                 2.0768,                0.88935,                0.99481,                      1,                  0.995,                0.53816,                 1.7937,                 1.6137,                0.87839,              0.0001388,              0.0001388,              0.0001388
                     50,                 1.4228,                 1.9741,                0.83438,                0.99524,                      1,                  0.995,                0.54708,                 1.7515,                 1.5802,                 0.8696,               9.92e-05,               9.92e-05,               9.92e-05
